1080
6112.4
1153
1154
1298
1359
1464
1544
2841
419
1617
2012.100
1855.a
1899
1990.101
1979.05.02.nc
1992.01.1.a
1992.01.1.b
1997.100.a&b
1998.04.2.a&b
2031.15.a&b
2127.3
2520
2548.r.1
2548.r.2
2548.s.1
2548.s.2
no.421
2566.1-3
3074.3&4
3081.3
3074.1&2
3101.3&4
522.1.a&b
6002
6005
6006
6007
6045
6086.2
6099
6110.2-4
6135
6149
6153.2
6210.a
6216
6233.nc
6239
650.1&2
no.203
no.390.nc
no.391.nc
no.392.nc
no.407.nc
no.487
no.554
no.589
no.592
no.64.b
no.82.c
2013.100.nc
2013.101.nc
